,Date and Time,Name,Phone Number,Location,Estimated Number of Victims,Report Details,Category
264,2024-01-29 22:55:10,Lucas Dela Cruz,9723345666,"Barangay Hall, Brgy. Gulod, Cabuyao City, Laguna",1,"May babae na nagkakaroon ng malubhang allergic reaction! Nahihirapan huminga, kailangan ng agarang tulong medikal.",Medical Emergency
265,2024-02-12 11:20:45,Amelia Fernandez,9834456777,"Along the Riverbank, Brgy. Pittland, Cabuyao City, Laguna",6,May nangyaring aksidente sa bangka! dun sa may ilog,Other Emergency
266,2024-03-01 7:05:15,Diego Ramos,9945567888,"Block 6 Lot 1 Magnolia St., Brgy. Banlic, Cabuyao City, Laguna",4,"May nangyaring pagkalat ng kemikal, kailangan ng rescue",Other Emergency
267,2024-02-27 18:30:25,Gabriela Torres,9056678999,"Manggahan St., Brgy. Marinig, Cabuyao City, Laguna",2,May aksidente na nangyari sa nakamotor at pedestrian.,Vehicular Accident
268,2024-03-10 14:45:55,Enzo Gonzales,9167789000,"Basketball Court, Brgy. Banay-banay, Cabuyao City, Laguna",7,May rambulan sa court. Maraming mga players ang sumali sa gulo.,Other Emergency
269,2024-03-22 9:10:40,Valentina Rivera,9451234567,"Barangay Marinig, Cabuyao City, Laguna",2,Isang sasakyan ang sumalpok sa poste nawalan ng preno,Vehicular Accident
270,2023-10-29 22:00:34,Isabella Nguyen,9507382961,"Barangay Pulo, Cabuyao City, Laguna",4,"May sunog sa isang apartment,apat na residente ang apektado.",Other Emergency
271,2024-03-05 11:30:05,Noah Kim,9671234567,"Barangay Niugan, Cabuyao City, Laguna",3,Nag-collapse ang scaffolding sa isang construction site,Other Emergency
272,2023-02-14 9:10:06,Sophia Patel,9321234567,"Barangay Niugan, Cabuyao City, Laguna",2,Mayroong malaking bato na bumagsak sa isang konstruksyon.,Other Emergency
273,2023-12-03 13:20:33,Elijah Khan,9451234567,"Crossing ng Maharlika Highway at National Road, Barangay Banay-Banay, Cabuyao City, Laguna",3,Nagkaroon ng aksidente sa banggaan ng kotse at tricycle.,Vehicular Accident
274,2023-02-14 9:10:20,Ava Gupta,9451234567,"Beach Resort, Barangay Casile, Cabuyao City, Laguna",1,"Isang tao ang nalunod sa beach resort, kailangan ng agarang tulong sa pagliligtas at pagbibigay ng resuscitation.",Other Emergency
275,2024-04-05 9:15:35,Lucas Santos,9321234567,"National Road, Barangay Real, Cabuyao City, Laguna",2,Mayroong banggaan sa kalsada nawalan daw ng preno yung truck ,Vehicular Accident
276,2023-06-15 18:20:45,Elena Fernandez,9181234567,"Barangay Bigaa, Cabuyao City, Laguna",8,"Nangyari ang pagsabog sa isang pabrika, kinakailangan ng tulong ng bumbero at pagliligtas.",Other Emergency
277,2023-08-02 11:00:50,Roberto Gonzalez,9293456789,"Plaza , Cabuyao City, Laguna",4,"Mayroong insidente ng pamamaril sa plaza, kinakailangan ng  pulisya.",Other Emergency
278,2023-11-08 16:10:15,Ana Ramirez,9345678901,"Barangay Niugan, Cabuyao City, Laguna",6,"Mayroong pagguho ng pader sa eskwelahan, kinakailangan ng tulong ng bumbero at pagliligtas.",Other Emergency
279,2023-02-14 9:10:20,Diego Perez,9457890123,"Block 12, Lot 5, Barangay Sala, Cabuyao City, Laguna",1,"yung anak ko po saka nabaril, dami nang dugo, send ambulansya pakiusap",Medical Emergency
280,2023-04-05 9:15:35,Carmen Rodriguez,9569012345,"Block 7, Lot 8, Barangay Banay-Banay, Cabuyao City, Laguna",1,tulong may nahimatay dito,Medical Emergency
281,2023-06-15 18:20:45,Javier Martinez,9671234567,"Block 15, Lot 4, Barangay Casile, Cabuyao City, Laguna",1,"Isang lalaki ang nag-collapse sa kalsada dahil sa atake sa puso, kailangan ng agarang tulong medikal.",Medical Emergency
282,2024-02-14 9:10:20,Patricia Diaz,9783456789,"Plaza , Cabuyao City, Laguna",3,"Mayroong nag-aaway sa loob ng isang establisyemento, kailangan ng tulong .",Other Emergency
283,2023-04-05 9:15:35,Francisco Lopez,9895678901,"Block 3, Lot 12, Barangay Marinig, Cabuyao City, Laguna",5,"Mayroong baha, kailangan ng tulong sa paglikas at paglilinis.",Other Emergency
284,2023-06-15 18:20:45,Marta Ruiz,9907890123,"Block 1 Lot 12, Saint Joseph 7, Barangay Butong, Cabuyao City, Laguna",1,"Isang lalaki ang nagnakaw sa isang tindahan, kailangan ng tulong ng pulisya para sa pag-aresto.",Other Emergency
285,2023-08-02 11:00:50,Daniel Sanchez,9129012345,"Ph2  Saint Joseph 6, Barangay Butong, Cabuyao City, Laguna",1,"Mayroong nakitang nasusunog na sasakyan sa kanto, kailangan ng tulong ng bumbero para sa pagsugpo ng apoy",Other Emergency
286,2023-11-08 16:10:15,Fer dela Cruz,9781234567,"Block 3, Lot 12, Barangay Marinig, Cabuyao City, Laguna",1,"May sunog dito sa bahay, kailangan ng tulong ng bumbero.",Other Emergency
287,2023/05/10 - 09:45:23,Sofia Rodriguez,9233456789,"Barangay Sala, Cabuyao City, Laguna",1,"Mayroong nabundol na pedestrian, kailangan ng tulong medikal sa lugar ng aksidente, may dugo",Medical Emergency
288,2024/01/15 - 18:20:12,Carlos Martinez,9567891234,"Block 7, Lot 8, Barangay Banay-Banay, Cabuyao City, Laguna",2,"Mayroong barilang narinig, kailangan ng tulong ng pulisya para imbestigahan.",Other Emergency
289,2023/09/02 - 11:00:45,Andrea Gomez,9432109876," Barangay Casile, Cabuyao City, Laguna",1,"Mayroong stranded na sasakyan sa gitna ng kalsada, kailangan ng tulong sa pagtanggal.",Vehicular Accident
290,2023/11/08 - 16:10:12,Alejandro Hernandez,9345678901,"Block 18, Lot 2, Barangay Gulod, Cabuyao City, Laguna",4,Mayroong sapawan ng sasakyan sa isang intersection.,Vehicular Accident
291,2023-02-14 9:10:00,Maria Santos,9123456789,"Barangay Gulod, Cabuyao City, Laguna",1,"Mayroong puno na bumagsak, may isang biktima na nasugatan, kailangan ng tulong medikal.",Medical Emergency
292,2023-07-05 11:30:00,Jose Garcia,9451234567,"Riverside, Barangay Casile, Cabuyao City, Laguna",2,"May dalawang tao ang lumubog sa ilog, kinakailangan ng tulong sa paglitas",Other Emergency
293,2023-08-18 17:45:00,Pedro Reyes,9507382961,"Crossing Maharlika Highway, Barangay Banay-Banay, Cabuyao City, Laguna",1,"Nagkaroon ng aksidente, banggaan ng motorsiklo, may biktima,kailangan ng tulong.",Other Emergency
294,2023-10-29 22:00:00,Maria Cruz,9876543210,"Phase 2, Villa Palao Subdivision, Barangay Marinig, Cabuyao City, Laguna",3,"Mayroong magnanakaw sa bahay, kinakailangan ng tulong ng pulisya.",Other Emergency
295,2023-12-03 13:20:00,Juanito Cruz,9321234567,"Barangay Real, Cabuyao City, Laguna",1,"Nawawala ang isang bata, kinakailangan ng tulong sa paghahanap at pagliligtas.",Other Emergency
296,2024-02-05 10:20:00,Andres Garcia,9065432109,"Idesia Cabuyao,, Barangay Marinig, Cabuyao City, Laguna",5,"Bumagsak ang gusali sa konstruksyon, may mga taong naapektuhan.",Other Emergency
297,2024-01-05 13:50:00,Rosa Reyes,9453217890,"Barangay Sala, Cabuyao City, Laguna",16,"Malakas na pagyanig ng lupa, posibleng may pinsala sa mga gusali at tao, nangangailangan ng tulong sa search and rescue.",Other Emergency
298,2023-06-10 8:15:00,Juan dela Cruz,920987765,"National Highway, Barangay Banlic, Cabuyao City, Laguna",2,"Bumangga ang dalawang sasakyan,kailangan ng pulisya.",Vehicular Accident
299,2024-05-03 14:30:00,Maria Santos,917123567,"48 Barangay San Isidro, Cabuyao City, Laguna",3,"Nasusunog ang bahay, may tao pa sa loob, kinakailangan ang tulong ng bumbero.",Other Emergency
300,2023-04-15 16:04:47,Emil Sangkot,94378453123,"Apartment 99 Jose Subd., Brgy. Poblacion Tres, Cabuyao City, Laguna",1,May tama ng bala sa may braso kailangan na ng ambulansya,Medical Emergency
301,2024-04-17 3:58:00,June Santos,9942087365,"Block 7 Lot 8, Quezon I Subdivision, Brgy. Casile, Cabuyao City, Laguna",4,HELP MY FAMILY IS STRANDED IN OUR HOUSE. FLOOD IS TOO DEEP!!! WE ARE AT QUEZON SUBDIVISION PLEASE HELP,Other Emergency
302,2024-03-24 8:24:33,Ryan Agosto,9081623904,"Lot 8, Block 10, Oak Street, Green Meadows Subdivision, Brgy. Baclaran, Cabuyao City, Laguna",5,A car collision occurred when a vehicle swerved to avoid an obstacle. Send help here at green meadows subdivision,Vehicular Accident
303,2024-01-01 0:15:42,Maria Perez,9357105281,"Sunrise Street, Sunset Road Subdivision, Brgy. Banay-Banay, Cabuyao City, Laguna",4,The vehicle crashed into a barrier after losing its brakes. Passengers are breathing but send help,Vehicular Accident
304,2024-01-01 4:23:15,Carlos Santos,9792641832,"Lot 7, Block 6, Cedar Avenue, Pineview Residences, Brgy. Banlic, Cabuyao City, Laguna",10,"A truck involved in the crash has spilled its load on the road. There's too many people involved I think, send help",Vehicular Accident
305,2024-01-01 12:45:32,Isabel Garcia,9501379420,"Lot 3, Block 10, Shoreline Drive, Lakeside Street Subdivision, Brgy. Bigaa, Cabuyao City, Laguna",2,The motorcycle flipped over after a collision with a car. Driver is breathing but send help,Vehicular Accident
306,2024-01-01 19:57:53,Daniel Bautista,9238057164,"Osmeña Highway, Brgy. Butong, Cabuyao City, Laguna",20,"Multiple vehicles are involved in a wreck on the main highway. Too much traffic, send help",Vehicular Accident
307,2024-01-02 1:30:27,Anna Cruz,9675924013,"Jorge Amdeo Highway, Brgy. Casile, Cabuyao City, Laguna",1,"A car is stuck off the road after swerving to avoid a dog. Driver needs help, send help",Vehicular Accident
308,2024-01-02 8:14:39,Miguel Reyes,9102813592,"Ridge Road, Mountainview Lane Estates, Brgy. Diezmo, Cabuyao City, Laguna",4,"The accident involved a truck that collided with a sedan. Passengers are still inside the car, send help",Vehicular Accident
309,2024-01-02 13:50:01,Patricia Ramirez,9946502371,"River Drive, Riverbend Estates, Brgy. Gulod, Cabuyao City, Laguna",10,"A vehicle is wrecked and blocking the road after losing control. Send help here, so many people are already involved",Vehicular Accident
310,2024-01-02 21:06:22,David Hernandez,9081319724,"Eastwood Drive, Brgy. Mamatid, Cabuyao City, Laguna",2,"There’s a collision involving a motorcycle and a truck. The truck is still stuck on the street. Heavy traffic, send help",Vehicular Accident
311,2024-01-03 3:27:14,Sofia Mendoza,9317460958,"Rosewood Gardens, Brgy. Marinig, Cabuyao City, Laguna",3,"A vehicle swerved and crashed into a ditch, causing a wreck. Passengers are alive but send help",Vehicular Accident
312,2024-01-03 9:48:56,Christian Javier,9750138627,"Orchard Avenue, Harvest Road Subdivision, Brgy. Niugan, Cabuyao City, Laguna",2,The car lost control and flipped over on the wet pavement. Send help here at Harvest Road subd.,Vehicular Accident
313,2024-01-03 17:12:03,Elena dela Cruz,9484725314,"Dawn Street, Sunrise Hills Subdivision, Brgy. Pittland, Cabuyao City, Laguna",5,"A collision occurred after the vehicle swerved to avoid a pedestrian. Driver and passengers need help out of the vehicle, send help please",Vehicular Accident
314,2024-01-03 22:56:40,Mark Lopez,9821013984,"Julio Santos Highway, Brgy. Pulo, Cabuyao City, Laguna",2,"The motorcycle is stuck under a car after a high-speed collision. We need help here, please come fast",Vehicular Accident
315,2024-01-04 5:13:49,Natasha Gomez,9158382654,"Bamboo Grove Subdivision, Brgy. Sala, Cabuyao City, Laguna",1,"A truck crashed into a guardrail after losing control. Driver needs help, send help here at bamboo grove",Vehicular Accident
316,2024-01-04 11:32:18,John Aquino,9595651324,"Harvest Road, Golden Valley Subdivision, Brgy. San Isidro, Cabuyao City, Laguna",7,"A car flipped over multiple times after hitting a pothole. Too much traffic, send help",Vehicular Accident
317,2024-01-04 16:45:07,Andrea Morales,9932920090,"Ancestors Drive, Heritage Village, Brgy. Poblacion Uno, Cabuyao City, Laguna",3,The vehicle involved in the crash is now blocking both lanes. Send help here at heritage village,Vehicular Accident
318,2024-01-04 23:10:20,Ronald dela Rosa,9269187767,"Coastal Lane, Seaview Terrace, Brgy. Poblacion Dos, Cabuyao City, Laguna",5,"wreck occurred involving a truck and two motorcycles. they are alive but vehicles are still stuck with each other, send help please",Vehicular Accident
319,2024-01-05 3:41:02,Veronica Yang,9606455439,"Woodland Drive, Forest Park, Brgy. Poblacion Tres, Cabuyao City, Laguna",1,"A car swerved off the road and is now stuck in the mud. Person can be seen trying to get out, send help",Vehicular Accident
320,2024-01-05 9:23:11,Joseph Lee,9043734101,"Jio June Highway, Brgy. Baclaran, Cabuyao City, Laguna",3,"The truck involved in the collision has spilled oil on the road. Cars are still stuck with each other, send help",Vehicular Accident
321,2024-01-05 14:56:25,Michelle Yap,9370002873,"Coconut Drive, Palmwood Boulevard, Brgy. Banay-Banay, Cabuyao City, Laguna",1,A vehicle hit a barrier and flipped over after losing its brakes. I can't see the driver so send help ASAP,Vehicular Accident
322,2024-01-05 20:17:38,Richard Chen,9707371542,"Cherry Blossom Highway, Brgy. Banlic, Cabuyao City, Laguna",20,"A multi-vehicle wreck has blocked the highway, causing major delays. We need help here at cherry blossom highway, too much traffic",Vehicular Accident
323,2024-01-06 2:45:52,Sarah Tan,9441640218,"Wave Drive, Crystal Bay Street Subdivision, Brgy. Bigaa, Cabuyao City, Laguna",4,"A motorcycle crashed into a vehicle, flipping over on impact. Passengers are okay but the vehicles are not in great shape. SEND HELP HERE",Vehicular Accident
324,2024-01-06 8:03:27,Francis Yu,9878918980,"Peak Avenue, Mountain Ridge Road, Brgy. Butong, Cabuyao City, Laguna",1,"A truck lost control and crashed into a fence, blocking the road. We need help here for the truck",Vehicular Accident
325,2024-01-06 13:18:46,Jennifer King,9215186653,"Juniper Hollow, Brgy. Castile, Cabuyao City, Laguna",1,"The car is stuck in a ditch after swerving to avoid an oncoming vehicle. The car and driver needs help, send help here",Vehicular Accident
326,2024-01-06 19:29:54,Paul Ong,9552454328,"Jose Marion Highway, Brgy. Diezmo, Cabuyao City, Laguna",15,A collision involving a truck has caused a traffic pileup. We need help here in Jose Marion highway,Vehicular Accident
327,2024-01-07 1:50:12,Katrina Lim,9889723090,"Fountain Street, Silver Springs Avenue, Brgy. Gulod, Cabuyao City, Laguna",2,"The vehicle hit a pole and flipped over after losing its brakes. The vehicle is still stuck here at silver springs avenue by fountain street, send help",Vehicular Accident
328,2024-01-07 7:34:15,Edward Wong,9226011769,"Sunbeam Road, Sunnydale Subdivision, Brgy. Mamatid, Cabuyao City, Laguna",3,A wreck occurred when the car lost control on a sharp turn. The driver and passengers seem okay but send help please,Vehicular Accident
329,2024-01-07 12:45:36,Alexandra Bautista,9663380432,"Maplewood Drive, Brgy. Marinig, Cabuyao City, Laguna",5,"A truck swerved to avoid debris and crashed into another vehicle. The vehicles are still here stuck, send help",Vehicular Accident
330,2024-01-07 18:21:03,Michael Dimacali,9090649107,"Aguinaldo 3, Brgy. Pittland, Cabuyao City, Laguna",3,"Send help please, a motorcycle was involved in a collision with a truck on the highway. Traffic is severe too",Vehicular Accident
331,2024-01-08 0:57:25,Beatrice Santos,9417917878,"Autumn Ridge, Brgy. Pittland, Cabuyao City, Laguna",1,A vehicle lost control and crashed into the median. The driver is in need of assistance and traffic is affected due to the accident blocking a portion of the road. SEND HELP PLEASE,Vehicular Accident
332,2024-01-08 6:12:44,Matthew Fernandez,9975420654,"Blossom Boulevard, Sunflower Circle, Brgy. Pulo, Cabuyao City, Laguna",2,"A truck involved in a crash is blocking the road, causing traffic. They need help getting the truck out",Vehicular Accident
333,2024-01-08 11:50:57,Charlotte Reyes,9491575211,"Lot 5, Block 12, Seashell Street, Oceanview Residences, Brgy. Sala, Cabuyao City, Laguna",3,A car hit a tree after swerving off the road and is now flipped over. They need help getting the car SEND HELP,Vehicular Accident
334,2024-01-08 17:35:18,Kevin Gutierrez,9828843985,"Lot 9, Block 3, Freshwater Drive, Mountain Springs, Brgy. San Isidro, Cabuyao City, Laguna",5,A collision between a vehicle and a motorcycle has caused a major wreck. Several people need help here at mountain springs ASAP,Vehicular Accident
335,2024-01-09 1:23:04,Diana Mendoza,9165112650,"Westwood Estates, Brgy. Poblacion Uno, Cabuyao City, Laguna",1,The car crashed into the guardrail after losing its brakes on the downhill. They need help here as soon as possible!,Vehicular Accident
336,2024-01-09 6:48:11,Gregory Ramirez,9502421322,"Horizon Street, Sunset Villas, Brgy. Poblacion Dos, Cabuyao City, Laguna",5,A car and tricycle crashed with each other! THEY NEED HELP! SEND HELP PLEASE!,Vehicular Accident
337,2024-01-09 13:07:33,Elaine Marquez,9839700095,"Meadow Drive, Highland Meadows, Brgy. Poblacion Tres, Cabuyao City, Laguna",2,The motorcycle is wrecked after crashing into the side of a truck! i do not know the state of both drivers! send help please,Vehicular Accident
338,2024-01-09 18:41:56,Roberto Navarro,9276978764,"Oyster Street, Pearl Avenue Subdivision, Brgy. Baclaran, Cabuyao City, Laguna",1,A car flipped over after swerving to avoid an animal on the road! Driver is still inside!,Vehicular Accident
339,2024-01-10 0:15:32,Evelyn Pascual,9613247436,"Gemstone Road, Emerald Street, Brgy. Banay-Banay, Cabuyao City, Laguna",12,The truck involved in the collision has blocked the intersection. We need help here! Driver is still inside,Vehicular Accident
340,2024-01-10 4:28:49,Victor Villanueva,9040516107,"Syrup Street, Maple Residences, Brgy. Banlic, Cabuyao City, Laguna",1,"A vehicle lost control and crashed into a building, causing a wreck. Send help getting the driver and vehicle out please",Vehicular Accident
341,2024-01-10 9:53:21,Melissa David,9387804872,"Summit Lane, Crystal Peak Road, Brgy. Bigaa, Cabuyao City, Laguna",1,The car flipped over after hitting a bump at high speed. The driver needs serious help I think! Car is still flipped over,Vehicular Accident
342,2024-01-10 15:17:47,Alain Reyes,9724173544,"Skyline Avenue, Brgy. Butong, Cabuyao City, Laguna",10,A collision between two vehicles has caused a major traffic jam. We need help here by the highway!,Vehicular Accident
343,2024-01-10 21:42:03,Gloria Hernandez,9461442211,"Cedarwood Lane, Brgy. Casile, Cabuyao City, Laguna",3,"The motorcycle crashed into the rear of a truck, causing severe damage. They need help ASAP",Vehicular Accident
344,2024-01-11 3:27:48,Benjamin Lopez,9898711980,"Morning Star Street, Brgy. Diezmo, Cabuyao City, Laguna",2,A vehicle is off the road and stuck in a ditch after a collision. We need traffic help here ASAP ISTG,Vehicular Accident
345,2024-01-11 8:11:09,Nina Gomez,9235080650,"Royal Mall, Brgy. Gulod, Cabuyao City, Laguna",1,"The truck lost its brakes and crashed into a line of parked cars. We need help here, driver is still here",Vehicular Accident
346,2024-01-11 13:30:15,Mario dela Cruz,9572359320,"Lot 3, Block 11, Fountain Lane, Springfield Drive, Brgy. Mamatid, Cabuyao City, Laguna",2,A car hit a post! Driver was seen overspeeding ISTG they are still inside,Vehicular Accident
347,2024-01-11 19:14:30,Ashley Aquino,9909628090,"Whispering Pines, Brgy. Marinig, Cabuyao City, Laguna",2,The motorcycle was involved in a collision with a vehicle on the bridge. They need help!,Vehicular Accident
348,2024-01-12 0:56:47,Leonardo Morales,9418333600,"Lot 10, Block 9, Brookside Lane, Willow Creek, Brgy. Diezmo, Cabuyao City, Laguna",3,A vehicle crashed into the divider after losing control on the curve. WE NEED HELP HERE PLEASE,Vehicular Accident
349,2024-01-12 5:25:19,Will Yang,9652329110,"Lot 19, Block 2, Soaring Avenue, Eagle's Nest, Brgy. Niugan, Cabuyao City, Laguna",2,The truck flipped over after swerving to avoid a collision with another vehicle. They need help here to fix!,Vehicular Accident
350,2024-01-12 11:48:52,Nina Gomez,9110444100,"Crisostomo Brigada Highway, Brgy. Mamatid, Cabuyao City, Laguna",3,A tricycle hit another motorcycle while hitting the pavement. They need help here,Vehicular Accident
351,2024-01-12 16:32:10,Mario dela Verde,9364578900,"Wave Drive Hotel, Ocean Breeze Road, Brgy. Pulo, Cabuyao City, Laguna",23,"May sunog sa malaking gusali, maraming usok ang nakikita. May mga nasigaw sa loob, dito po kayo abot tulong please",Other Emergency
352,2024-01-12 22:14:29,Ashley Aquino,9784532115,"Lot 9, Block 3, Fresh Grass Lane, Greenfields Estate, Brgy. Sala, Cabuyao City, Laguna",3,"Nagdulot ng pagguho ng lupa yung lindol kagabi, sarado ang kalsada. Di kami makaalis dito, pengeng tulong po",Other Emergency
353,2024-01-13 2:58:16,Leonardo Morales,9683517543,"Horizon Tower, Unit 405, Tower B, Skyline Avenue, Brgy. Butong, Cabuyao City, Laguna",20,"ANG LAKAS NG LINDOL, naglalabasan ang mga tao. Kailangan ng tulong dito, may na-stranded",Other Emergency
354,2024-01-13 8:44:03,Wendy Yang,9246906763,"Lot 4, Block 6, Scented Street, Lavender Lane, Brgy. Pittland, Cabuyao City, Laguna",7,"Ang baha nagdudulot ng malaking pinsala sa bahay namin. Di na kami makaalis sa 2nd floor mga bossing, pahinging tulong po",Other Emergency
355,2024-01-13 14:30:49,Stephen Li,9123456789,"Ang Merkado, Brgy. Niugan, Cabuyao City, Laguna",50,"May sunog sa palengke at mabilis na kumakalat mga sir. pahinging tulong po, marami pa tao sa loob",Other Emergency
356,2024-01-13 20:01:27,Kimberly Yang,9987654321,"Lot 13, Block 3, Floral Avenue, Gardenia Lane Subdivision, Brgy. Baclaran, Cabuyao City, Laguna",5,Baha na ang kalsada at kailangan na ng paglikas. Di na kami makaalis dito utang na loob tulong,Other Emergency
357,2024-01-14 1:25:36,Gabriel Cortez,9056789123,"Unit 304, Tower A, Horizon Street, Skyline Towers, Brgy. Casile, Cabuyao City, Laguna",5,"Malakas na lindol ang naramdaman, naglalabasan ang mga tao. MAY NA-TRAP SA LOOB NG UNIT TULONG PO",Other Emergency
358,2024-01-14 7:38:42,Jim Tan,9345678901,"Lot 14, Block 1, Timber Lane, Westwood Estates, Brgy. Poblacion Uno, Cabuyao City, Laguna",3,Nababaha na ang mga bahay sa tabi ng ilog! Kailangan namin ng rescue rito sa westwood!,Other Emergency
359,2024-01-14 12:45:52,Francis Yo,9789012345,"QTP Building, Brgy. Poblacion Uno, Cabuyao City, Laguna",30,"May sunog sa gusali, maraming usok ang nakikita. May mga nasa loob pa po tulong dito",Other Emergency
360,2024-01-14 18:59:43,Catherine King,9213456789,"Fordham Road, Brgy. Bigaa, Cabuyao City, Laguna",10,"Ang lindol ay nagdulot ng pagguho ng lupa, sarado ang kalsada. May bahay na katabi, nasira, kailangan nila ng tulong, may tao pa ata sa tabi",Other Emergency
361,2024-01-15 0:21:31,George Cortez,9657890123,"Jewel Ville, Brgy. Banay-banay, Cabuyao City, Laguna",5,“Ang baha ay mabilis na tumataas at inaabot na ang mga bahay.”,Other Emergency
362,2024-01-15 6:17:56,Denise Lim,9091234567,"Cross Corp., Brgy. Gulod, Cabuyao City, Laguna",100,May sunog sa pabrika at mabilis na kumakalat. Ang dami pong trabahador pa sa loob TULONG PO SUNOG,Other Emergency
363,2024-01-15 11:53:47,Edward Wong,9435678901,"SouthDrive, Brgy. Poblacion Tres, Cabuyao City, Laguna",50,"Kailangan ng rescue, maraming tao ang naipit sa baha. Ang taas na po ng baha rito sa southdrive TULONG",Other Emergency
364,2024-01-15 17:36:28,Amanda Bautista,9879012345,"Ermita Subdivision, Brgy. Poblacion Dos, Cabuyao City, Laguna",100,"May sunog sa residential area, mabilis kumakalat. Ang laki na ng apoy, tulong po",Other Emergency
365,2024-01-16 2:27:11,Michael Dimacali,9157238904,"Phase 5, Walter Ville, Brgy. Pulo, Cabuyao City, Laguna",10,Ang taas na ng baha po rito sa amin. Kailangan na po namin ng rescue huhu TULONG PO,Other Emergency
366,2024-01-16 8:14:39,Bea Santos,9591672348,"Greenview, Brgy. Marinig, Cabuyao City, Laguna",20,"ANG LAKAS PO NG LINDOL! TULONG PO ANDITO PA KAMI SA OPISINA MAY NAGBAGSAKAN NA MGA GAMIT AT PADER, DI KAMI MAKAALIS 3RD FLOOR PO NG GREENVIEW",Other Emergency
367,2024-01-16 13:29:05,Matthew Fernandez,9035016782,"Block 1 Lot 1 Fern Subd., Brgy. Marinig, Cabuyao City, Laguna",7,"Ang taas na po ng tubig baha rito sa amin, rescue po kailangan namin. tulungan niyo po kami parang awa na po",Other Emergency
368,2024-02-16 19:03:52,Charlotte Reyes,9378450126,"Tropical Farm Residences, Brgy. Butong, Cabuyao City, Laguna",50,"May sunog sa malaking gusali, kailangan ng bumbero po rito TULONG PO PLEASE",Other Emergency
369,2024-03-17 0:45:21,Abigail Wu,9712894560,"Jose Walo Road, Brgy. Sala, Cabuyao City, Laguna",5,TULONG PO NABAGSAKAN BAHAY PO NAMIN NG PUTIK LANDSLIDE!! DI PO KAMI MAKAALIS HUHU,Other Emergency
370,2024-04-17 5:57:19,Karl Mendoza,9256238904,"Phase 3, Oswald Compound, Brgy. Sala, Cabuyao City, Laguna",10,GUSTO NA PO NAMING LUMIKAS!! BAHA NA PO ANG TAAS NG BAHA SA AMIN TULONG PO,Other Emergency
371,2024-01-17 10:49:02,Rey Ramirez,9690672348,"Phase 7, Oswald Compound, Brgy. Sala, Cabuyao City, Laguna",10,MAY SUNOG PO RITO SA BAKANTENG LOTE! ANG LAKI NA PO NG APOY TULONG PO NAKALAT NA PO,Other Emergency
372,2024-02-17 15:41:47,Elaine Marquez,9004016782,"Kenyon Road, Brgy. Diezmo, Cabuyao City, Laguna",5,"Nagbanggaan ang dalawang sasakyan sa kanto, kailangan ng tulong. Ang daming napeperwisyo, buhay pa yung mga driver",Other Emergency
373,2024-01-17 22:25:38,Roberto Navarro,9447450126,"Kenyon Road, Brgy. Diezmo, Cabuyao City, Laguna",2,Nawalan ng preno ang kotse at bumangga sa puno. Kailanjgan ng tulong dito at di pa rin naaalis yung sasakyan!,Vehicular Accident
374,2024-02-18 2:17:04,Evelyn Pascual,9881894560,"Kenyon Road, Brgy. Diezmo, Cabuyao City, Laguna",15,Nagsalpukan ang dyip at tricycle dito sa kalsada! Kailangan ng tulong dito para rin maalis na yung mga sasakyan!,Vehicular Accident
375,2024-01-18 9:30:56,Victor Nepomuceno,9183125967,"Kenyon Road, Brgy. Diezmo, Cabuyao City, Laguna",20,Nagkagitgitan at sumalpok po ang dalawang truck dito sa highway! Aberya po sobra tulong po para maayos na ito huhuhu,Vehicular Accident
376,2024-01-18 13:56:45,RJ Reyes,9527561301,"Joshua Stile Building, Brgy. Poblacion Uno, Cabuyao City, Laguna",20,NASUSUNOG PO ANG 5TH FLOOR NG JOSHUA! ANG USOK PO SOBRA TULONG BUMBERO,Other Emergency
377,2024-01-18 20:47:19,Evelyne Pascual,9061905735,"La Avenida, Brgy. Diezmo, Cabuyao City, Laguna",20,Kailangan ng rescue! maraming tao ang naipit sa baha!! DITO PO MALAPIT SA avenida store,Other Emergency
378,2024-01-19 1:45:38,Victor Villareal,9405341079,"Phase 3, Williamville, Brgy. Butong, Cabuyao City, Laguna",10,Kailangan ng rescue! maraming tao ang naipit sa baha!! DITO PO SA WILLIAMVILLE,Other Emergency
379,2024-01-19 6:56:21,Carlo David,9749785413,"Galwan Manufacturing Co., Brgy. Niugan, Cabuyao City, Laguna",100,"Nasusunog po pabrika ng Galwan, tulong po, ang laki na ng apoy masyado",Other Emergency
380,2024-02-19 12:32:14,AJ Reyes,9283121857,"Bang St., Norwood Compound, Brgy. Niugan, Cabuyao City, Laguna",20,"Kailangan po ng rescue rito sa Norwood, may landslide po na nangyari, marami ang stranded",Other Emergency
381,2024-03-19 18:41:59,Gloria Hernandez,9627567201,"Ulan Commercial Building, Brgy. Gulod, Cabuyao City, Laguna",50,"May sunog sa malaking gusali, maraming usok ang nakikita. Kailangan na kailangan po ng bumbero rito utang na loob",Other Emergency
382,2024-01-20 0:23:17,Benjamin Artuso,9011901635,"Wall-B Motel, Brgy. Pittland, Cabuyao City, Laguna",4,Baha na ang kalsada at kailangan na namin lumikas huhu tulong po! andito lang po ako sa wall-b! ang taas na po ng tubig huhuhu di nasagot admin,Other Emergency
